Title,Local Image Path
"Celebrity apologies can be tricky. Just ask Drew, Ashton or Mila",downloaded_images\230920115424-barrymore-kutcher-kunis-split.jpg
"Coming (again!) to a theater near you: Britney Spears’ ‘Crossroads,’ ‘Hunger Games,’ and some scares",downloaded_images\230921175401-crossroads-movie-2002-restricted.jpg
Ophelia weakens to tropical depression as it dumps inches of rain along upper East Coast,downloaded_images\230922235314-01-tropical-storm-ophelia-092223.jpg
"An October saltwater intrusion could threaten drinking water in New Orleans, so they’ll barge in 36 million gallons of fresh water a day",downloaded_images\230922180615-new-orleans-drinking-water-shortage.jpg
Gisele Bündchen says she felt ‘suffocated’ and had self-destructive thoughts from stress of modeling,downloaded_images\230923164337-gisele-bundchen-090923-restricted.jpg
How climate change threatens some of the world’s most coveted real estate,downloaded_images\230911211407-01-tai-tam-house-landslide.jpg
Anti-monarchy campaigners stage protest inside Buckingham Palace,downloaded_images\230923122512-buckingham-palace-anti-monarchy-protest.jpg
See Tropical Storm Ophelia’s path,downloaded_images\230923071515-tropical-storm-ophelia-9-23-7a.jpg
"Never ‘insult Poles again,’ Poland’s prime minister tells Ukraine’s Zelensky",downloaded_images\230923014027-01-mateusz-morawiecki-070523-file.jpg
"In McCarthy’s home district, allies back him as shutdown looms",downloaded_images\230922165404-01b-kevin-mccarthy-home-district.jpg
Latest wave of migrants at US-Mexico border puts Biden under renewed pressure,downloaded_images\230921134311-01-migrants-awaiting-processing-eagle-pass-0921.jpg
McCarthy works through weekend but no progress on short-term fix with just one week until shutdown,downloaded_images\230923122958-03-kevin-mccarthy-092223.jpg
"As DeSantis falters, the race for second place in the GOP primary is open again",downloaded_images\230922191401-ron-desantis-06262023.jpg
"Jimmy and Rosalynn Carter visit Georgia festival ahead of former president’s 99th birthday, Carter Center says",downloaded_images\230923130522-jimmy-rosalynn-carter-file-2018.jpg
Florida unveils new high-speed rail line. What does this mean for the rest of the country?,downloaded_images\230923101122-brightline-train-muntean-vpx.jpg
‘Never insult Poles again’: Prime minister fires back at Zelensky,downloaded_images\230923172706-morawiecki-zelensky-split-file.jpg
Six things José Andrés wants you to know about Spanish food,downloaded_images\230921141631-01-jose-andres-and-family-in-spain-cec.jpg
‘Hope is on the horizon’: Reporter says end is near for Hollywood strike,downloaded_images\230923084216-02-wga-strike-0502.jpg
Hear Russian foreign minister blast US at UNGA,downloaded_images\230923160449-01-sergey-lavrov-un-press-conference-092323.jpg
Burgers and tacos don’t look like they do in ads. Lawsuits are trying to change that,downloaded_images\230918151339-fast-food-burgers-mcdonalds-burger-king-wendys.jpg
Want to live in London or New York? Good luck if you’re renting,downloaded_images\230921152653-01-global-rents-rising-unaffordable.jpg
Canadian autoworkers vote on tentative deal with Ford,downloaded_images\230923125819-lana-payne-unifor-union-0810-restricted.jpg
WGA continues bargaining talks with Hollywood studios,downloaded_images\230923084216-02-wga-strike-0502.jpg
"Even 1.4 billion people can’t fill all of China’s vacant homes, ex-official admits",downloaded_images\230923212211-residential-buildings-changzhou-083123-restricted.jpg
WGA strike: Hollywood studios send writers ‘best and final’ offer as deal nears on strike,downloaded_images\230923123325-03-wga-strike-0502.jpg
Russian foreign minister attacks West as ‘empire of lies’,downloaded_images\230923160449-01-sergey-lavrov-un-press-conference-092323.jpg
Israel strikes Gaza targets after incendiary balloons sent across border,downloaded_images\230923005458-01-gaza-protests-092223-restricted.jpg
On GPS: President Raisi on Iran’s nuclear ambitions,downloaded_images\230922151513-raisi-zakaria-3.jpg
Azerbaijan has reclaimed Nagorno-Karabakh. What does that mean for the tens of thousands living there?,downloaded_images\230921101407-04-nagorno-karabakh-russia-ceasefire.jpg
A 7-year journey to deliver an asteroid sample to Earth will soon end in Utah,downloaded_images\230906122917-03-nasa-osiris-rex-sample-training-model.jpg
Does the US prosecute more Republicans or Democrats? Here’s some data,downloaded_images\230922115744-01-menendez-indictment-presser-0922.jpg
"Clinging to hope in Derna, as grief turns to anger",downloaded_images\230923054448-01-derna-libya-floods-092223.jpg
Rep. Andy Kim announces he’ll run against NJ Sen. Bob Menendez in wake of his indictment,downloaded_images\230923153823-andy-kim-file-012623-restricted.jpg
"McCarthy ally dares critics to push vote ousting speaker, blasts hardliners over possible shutdown",downloaded_images\230923165922-garret-graves-file-053123-restricted.jpg
